model,acc,f1,kappa,alpha,auc,pr_auc,rmse_mean,pear_mean,sagr_mean,ccc_mean
resnet50,0.44741235392320533,0.44704092215664276,0.37010668242440414,0.36793163189448064,0.8137284417435113,0.44618432146471376,0.3754170835018158,0.50839288476555,0.7629382303839733,0.48019321262836456
densenet121,0.4056761268781302,0.3958567841602354,0.32017967527105895,0.31803713145803625,0.795071859767917,0.407930216883048,0.376277893781662,0.4778756670500792,0.7804674457429048,0.44386257231235504
custom,0.2036727879799666,0.19109390001219934,0.08767745272716843,0.08223227374430997,0.6099218808537148,0.18431410226021755,0.41280996799468994,0.1753484276300019,0.7604340567612689,0.052179886028170586
