epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_acc,val_f1,val_kappa,val_alpha,val_auc,val_pr_auc,val_rmse_mean,val_pear_mean,val_sagr_mean,val_ccc_mean,lr,time_s
1,2.055937763943392,1.8822849946863511,0.17365277385010439,1.8232831361894815,1.6733068779036278,0.149976249778012,0.3989983305509182,0.38770576645744803,0.3141963019266364,0.306831470867844,0.7855001159034098,0.3856227147623723,0.3849206119775772,0.42092304657845814,0.7487479131886478,0.3318294435739517,0.0003,70.35890316963196
2,1.7306954372630399,1.5824784635095035,0.14821697217576643,1.7282963571245962,1.5782661553416308,0.1500302121814384,0.41736227045075125,0.38473272868512925,0.332135303852224,0.3284728674444698,0.8099383718691467,0.4154021949601945,0.38474996387958527,0.45406132197947313,0.7787979966611018,0.3983258903026581,0.0003,21.59845495223999
3,1.5236797411301557,1.3911091714746813,0.13257056860362781,1.7255461727438466,1.5810373681216487,0.14450879452224566,0.4073455759599332,0.40266901276872064,0.32424358945839704,0.31700813447193443,0.8153073317284558,0.4343939845234305,0.3790690004825592,0.45937872915258504,0.7637729549248748,0.4010634869337082,0.0003,21.645065307617188
4,1.3470150580125697,1.2240417494493372,0.1229733065997853,1.7772903263270357,1.6254280053315457,0.1518623238811907,0.44574290484140233,0.4408946169078357,0.36622644876730504,0.365442006549901,0.8191219739743585,0.4509972596382644,0.3887105882167816,0.4392059007283552,0.7796327212020033,0.39200422167778015,0.0003,21.199014902114868
5,1.2022840349814472,1.0859925737100489,0.1162914602546131,1.7124082709791664,1.5556954012092246,0.15671286683448765,0.44407345575959933,0.4350924746362782,0.3650156464382467,0.3628470085374451,0.829908976398846,0.46909325231283994,0.39578428864479065,0.4709752909152438,0.7771285475792988,0.365394189953804,0.0003,21.17317032814026
6,1.0296885484807632,0.923665038838106,0.10602350704810198,1.8708186364532113,1.7293862024810358,0.14143242929535038,0.44741235392320533,0.44704092215664276,0.37010668242440414,0.36793163189448064,0.8137284417435113,0.44618432146471376,0.3754170835018158,0.50839288476555,0.7629382303839733,0.48019321262836456,0.0003,21.585481643676758
7,0.8969656344021067,0.7971178951684167,0.09984773720011991,2.07984168680761,1.9286686110377114,0.1511730514280187,0.39065108514190316,0.3802018420009209,0.3069547025073699,0.30034189813517376,0.8157293695466231,0.43943703675626744,0.3881533592939377,0.49649088383806617,0.7704507512520868,0.4463939517736435,0.0003,21.191213846206665
8,0.7729007890645195,0.6826564861045165,0.09024430161013322,1.9537462392116032,1.810038388073942,0.14370783934609122,0.4323873121869783,0.41820124409909654,0.3510251164687813,0.3493327535128965,0.8205223501923818,0.436031600583829,0.3775228410959244,0.4923626994382634,0.7729549248747913,0.4703996777534485,0.0003,21.468753576278687
9,0.6310261382074918,0.549568733327529,0.08145740504650509,2.0852010630207984,1.942717378644991,0.14248367285788158,0.44908180300500833,0.44045312694902095,0.3694455254780118,0.36944788977908893,0.8183549348427172,0.4407871239415268,0.37665896117687225,0.5029319260266121,0.7754590984974958,0.4787905663251877,0.00015,21.306755304336548
10,0.4657531966531978,0.3956437487461988,0.0701094479245298,2.190823286523007,2.0549777196922365,0.1358455686467717,0.44073455759599334,0.43643379219622347,0.360521996845074,0.36056366776323656,0.8222277363850603,0.4555386807361139,0.36808422207832336,0.5055818832323293,0.7721202003338898,0.4772198647260666,0.00015,21.327982187271118
11,0.3633211613753263,0.30019842665861635,0.06312273577732198,2.409089505373934,2.267356940422313,0.1417325638321684,0.4524207011686144,0.4475975931978051,0.37470322018039137,0.3733284384926019,0.7984726631629393,0.4271904820676642,0.37610360980033875,0.49761424934825005,0.7662771285475793,0.4668586254119873,0.00015,21.41831088066101
12,0.3251477823187323,0.2658540671187289,0.05929371457766084,2.457152726853232,2.3170515278942,0.14010120836243606,0.4307178631051753,0.42811593973878737,0.34929676175913094,0.3486436758864897,0.80034930469206,0.41883765721351457,0.37379059195518494,0.48939649798874474,0.7737896494156928,0.45936939120292664,7.5e-05,21.079435110092163
13,0.2246783129432622,0.17361220686751253,0.05106610640883446,2.47668463976833,2.3377456872013456,0.13893896586359641,0.4273789649415693,0.4239936784033525,0.3448876191326473,0.3445755244085439,0.8053917574846252,0.4328358043773698,0.3721756190061569,0.491176627130988,0.7729549248747913,0.4598255604505539,7.5e-05,21.434804439544678
