epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_acc,val_f1,val_kappa,val_alpha,val_auc,val_pr_auc,val_rmse_mean,val_pear_mean,val_sagr_mean,val_ccc_mean,lr,time_s
1,2.286981291490443,2.084780606662526,0.20220068030497607,2.2528662948258136,2.0721564153598027,0.18070987536135022,0.15525876460767946,0.09538819262348674,0.029304005841585545,-0.0315310098642978,0.5635439987661788,0.15538213166751744,0.4228929281234741,0.0015847181333546526,0.7595993322203674,-0.002609802410006523,0.0003,15.13623571395874
2,2.263615612703211,2.068382592481725,0.19523302246542537,2.2342372848115897,2.0523000129674234,0.1819372742323326,0.18530884808013356,0.11920119751709113,0.059279379014713585,0.008067761726782918,0.5635497526239837,0.16258893715812156,0.4241379052400589,0.07283756655387799,0.7595993322203674,0.020336374640464783,0.0003,15.147995233535767
3,2.258396760155173,2.0684275071761187,0.18996925059486838,2.231420419450992,2.0544575550321347,0.1769628539457544,0.1636060100166945,0.10207261456246691,0.03595349688876337,-0.014094581660641037,0.5693646256788187,0.16514443325016687,0.4180840700864792,0.0958840663425221,0.7595993322203674,0.02375473640859127,0.0003,15.394259214401245
4,2.254254883036894,2.0650371439316695,0.1892177419802722,2.2384365082583164,2.0599597614874225,0.17847676070186252,0.1652754590984975,0.12965916004940942,0.04167973224627719,0.022566705535359,0.568625658832534,0.15668304189469753,0.42020802199840546,0.1314574426161173,0.7595993322203674,0.014968343544751406,0.0003,15.55258846282959
5,2.248421455271104,2.061439467037425,0.18698199191514184,2.23633117787229,2.058264362991155,0.17806679007903561,0.15191986644407346,0.12158220329508362,0.03072272462309311,-0.0055563272676761866,0.5758943748985944,0.16382890278057177,0.41939549148082733,0.09511044008751159,0.7595993322203674,0.02185568632557988,0.0003,15.898600816726685
6,2.243428570803474,2.056917253382066,0.18651131829794715,2.2330220366559166,2.0534254441874253,0.17959658794092614,0.19198664440734559,0.12961526548798552,0.06785116021850746,0.002948055367680835,0.5785636175456894,0.1648902357630078,0.42096199095249176,0.10642632830265572,0.7595993322203674,0.025625010021030903,0.0003,14.906713247299194
7,2.2400341095643883,2.05580207936904,0.1842320325795342,2.2301849399464757,2.0536695971512833,0.17651534884023745,0.17863105175292154,0.1626500990547542,0.060550903242876375,0.048474292564862353,0.5823053915502896,0.1671683989914945,0.41760703921318054,0.1075202664861113,0.7595993322203674,0.020346459932625294,0.0003,15.107182264328003
8,2.2363919527390426,2.049678438972024,0.1867135129255407,2.22056345907794,2.0450012194294365,0.175562251042046,0.2003338898163606,0.16610193052967134,0.07863613447267093,0.060870462519204804,0.5770570961181256,0.16330907988606733,0.4161219149827957,0.1413872707221265,0.7595993322203674,0.02826646063476801,0.0003,15.138952493667603
9,2.2382967545004453,2.053947403571185,0.18434934903593625,2.2341726506890756,2.0576340455642725,0.17653859407953507,0.19031719532554256,0.1605877910503381,0.07347402193568542,0.043493375819475655,0.5764626709797749,0.16271676689269632,0.4175018221139908,0.12900750579380268,0.7595993322203674,0.023561054840683937,0.0003,15.124585628509521
10,2.235985996021944,2.05110580219942,0.18488019389264723,2.2443962881282493,2.0678110870972697,0.17658519369234427,0.18363939899833054,0.1637332806745307,0.06511699163456364,0.04834270087648995,0.575965536057395,0.16526294956343643,0.41729581356048584,0.11663474204740654,0.7587646076794659,0.024576558731496334,0.0003,15.599540710449219
