epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_acc,val_f1,val_kappa,val_alpha,val_auc,val_pr_auc,val_rmse_mean,val_pear_mean,val_sagr_mean,val_ccc_mean,lr,time_s
1,2.150507247027229,1.9055972982855405,0.24490994716391845,1.8915882727538604,1.7119671024742826,0.17962117264286703,0.34724540901502504,0.3156614469064755,0.25430857448508826,0.24535630671594144,0.775322730039981,0.3587860924479885,0.4209009259939194,0.3069153944274978,0.7295492487479132,0.25089894235134125,0.0003,25.160659313201904
2,1.8179967495974372,1.6328461899476894,0.1851505593692555,1.7819210044131653,1.6278696410445022,0.1540513585177009,0.3806343906510851,0.3596489877568472,0.2931467721824984,0.2878895996125852,0.7993535382037438,0.3977786528736841,0.3907247930765152,0.4296983500010678,0.7529215358931552,0.3726391941308975,0.0003,24.961044549942017
3,1.6499148632498348,1.4802761546303245,0.1696387100570342,1.7568430757283766,1.6024406827948925,0.15440239462510175,0.3739565943238731,0.3619447155658226,0.28352481866838475,0.2811190759887765,0.8025235130747912,0.3995561094922974,0.3907904028892517,0.43250968973109044,0.7545909849749584,0.37483759224414825,0.0003,24.039268970489502
4,1.5490370408226461,1.3967308240778307,0.15230622098726385,1.7481149202197144,1.5998086473579598,0.1483062755484414,0.39565943238731216,0.38720954032850696,0.3084861434448448,0.3072418308177096,0.8059649066305706,0.41221127214217096,0.3837282955646515,0.4194491273601296,0.7829716193656093,0.3547820448875427,0.0003,23.624340534210205
5,1.3892478177126717,1.248087504050311,0.14116031713345473,1.8352761602958971,1.6823007274350659,0.15297542258674196,0.3989983305509182,0.38369957456856196,0.31338835396607057,0.30965761632265953,0.800100501717228,0.3943932306982943,0.3898484408855438,0.45613602097131106,0.7479131886477463,0.39960820972919464,0.0003,24.81481099128723
6,1.3120196493934182,1.1782310376447789,0.1337886110123466,1.903366288478068,1.7614191981508258,0.141947072017969,0.4073455759599332,0.3984875716902223,0.3230582632446851,0.32066051490618896,0.7911715971498979,0.3997752102562222,0.3756461590528488,0.4604176791041936,0.7863105175292153,0.40138334035873413,0.0003,23.899779319763184
7,1.2140028426226448,1.0890831948729123,0.12491965164156521,1.8588295605823473,1.7151732902495014,0.14365627359169753,0.3823038397328882,0.37740900634635444,0.2951551657242444,0.29289881311607324,0.7999738191730014,0.40006590583711643,0.37800510227680206,0.4406639843935106,0.7696160267111853,0.37509962916374207,0.0003,23.018606424331665
8,1.0800720935709336,0.9589584267840666,0.12111366762834437,1.918374550561475,1.760653468722692,0.15772108887889746,0.38898163606010017,0.3811399249429103,0.3003944244466571,0.29867884568283654,0.7983237306113351,0.40280955800134577,0.3946526199579239,0.47481567907984507,0.7737896494156928,0.4068000167608261,0.0003,23.75420641899109
9,0.9863455893011654,0.8713708287126878,0.11497475918601541,1.9209432164098266,1.7755781151416505,0.14536508992438724,0.3772954924874791,0.3616600353143946,0.2868159894790938,0.2842056829914261,0.7947707890333379,0.39021401310730053,0.38031886518001556,0.4602106953418344,0.7854757929883138,0.4025174528360367,0.00015,22.921054124832153
10,0.7675972517798929,0.6664232240003698,0.10117402679779951,1.9200813378236927,1.7786559232686319,0.1414254198538043,0.3973288814691152,0.3843512692236032,0.30950236936557196,0.309123495911822,0.80701563488689,0.412547950446861,0.3752073794603348,0.48719330482660683,0.7621035058430718,0.44439758360385895,0.00015,26.28952670097351
11,0.6713144007851096,0.575454256254084,0.09586014335646349,2.0178174260064634,1.8732341738893512,0.14458323654427951,0.4090150250417362,0.39951477886335063,0.3237380244677187,0.3232449387669054,0.7990563492660633,0.4062501320119979,0.37955570220947266,0.47453226626734846,0.7754590984974958,0.44100378453731537,0.00015,27.4771625995636
12,0.5936098949348225,0.5046747412401087,0.08893515462384505,2.079386165424659,1.9345506982930714,0.14483546126067937,0.3789649415692821,0.375581541351232,0.29063004383661073,0.2892479932066714,0.7900789009764719,0.3901549406611794,0.38007117807865143,0.4651594047482493,0.7796327212020033,0.41156205534935,0.00015,23.74594497680664
